id,provider_and_id,provider_code,provider_code_hebrew,file_type_police,accident_type,accident_type_hebrew,accident_severity,accident_severity_hebrew,accident_timestamp,location_accuracy,location_accuracy_hebrew,road_type,road_type_hebrew,road_shape,road_shape_hebrew,day_type,day_type_hebrew,police_unit,police_unit_hebrew,one_lane,one_lane_hebrew,multi_lane,multi_lane_hebrew,speed_limit,speed_limit_hebrew,road_intactness,road_intactness_hebrew,road_width,road_width_hebrew,road_sign,road_sign_hebrew,road_light,road_light_hebrew,road_control,road_control_hebrew,weather,weather_hebrew,road_surface,road_surface_hebrew,road_object,road_object_hebrew,object_distance,object_distance_hebrew,didnt_cross,didnt_cross_hebrew,cross_mode,cross_mode_hebrew,cross_location,cross_location_hebrew,cross_direction,cross_direction_hebrew,road1,road2,km,km_raw,km_accurate,yishuv_symbol,yishuv_name,geo_area,geo_area_hebrew,day_night,day_night_hebrew,day_in_week,day_in_week_hebrew,traffic_light,traffic_light_hebrew,region,region_hebrew,district,district_hebrew,natural_area,natural_area_hebrew,municipal_status,municipal_status_hebrew,yishuv_shape,yishuv_shape_hebrew,street1,street1_hebrew,street2,street2_hebrew,house_number,non_urban_intersection,non_urban_intersection_hebrew,non_urban_intersection_by_junction_number,urban_intersection,accident_year,accident_month,accident_day,accident_hour_raw,accident_hour_raw_hebrew,accident_hour,accident_minute,geom,longitude,latitude,x,y
2013008792,32013008792,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-12-15 08:00,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,20,"מחוז ת""א",9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,5000,תל אביב -יפו,1,ישראל ללא יהודה ושומרון,1,יום,1,ראשון,9,לא ידוע,5,תל אביב,51,תל אביב,511,אזור תל אביב,,,13,יישובים יהודיים 499999-200000 תושבים,,,,,9999,,,,,2013,12,15,33,,8,0,0101000020E610000076BA2BC065654140045D2158CE0A4040,34.7921676839368,32.0844221270472,180528.0,665747.0
2013008793,32013008793,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-12-15 08:00,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,14,מרחב עמקים,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,240,יקנעם עילית,1,ישראל ללא יהודה ושומרון,1,יום,1,ראשון,9,לא ידוע,2,הצפון,23,יזרעאל,235,אזור יקנעם,,,16,יישובים יהודיים 49999-20000 תושבים,,,,,9999,,,,,2013,12,15,33,,8,0,0101000020E610000033E3A72A178C414003C3300D36534040,35.0944569892657,32.650087021646,209131.0,728407.0
2013008794,32013008794,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-11-07 08:00,1,עיגון מדויק,4,לא-עירונית לא בצומת,9,אחר,4,יום אחר,61,מחוז ירושלים,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,1,,380.0,380,true,,,1,ישראל ללא יהודה ושומרון,1,יום,5,חמישי,9,לא ידוע,,,99,,,,,,,,,,,,,,,,,2013,11,7,33,,8,0,0101000020E61000003C997AFEA9824140410718E1ADD13F40,35.0208128069521,31.8190594371474,202064.0,636262.0
2013008795,32013008795,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-12-17 08:00,3,מרכז דרך,2,עירונית לא בצומת,9,אחר,4,יום אחר,61,מחוז ירושלים,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,3000,ירושלים,1,ישראל ללא יהודה ושומרון,1,יום,3,שלישי,9,לא ידוע,1,ירושלים,11,ירושלים,111,הרי יהודה,,,12,יישובים יהודיים 500000 תושבים ומעלה,4797,רחמילביץ משה,,,1,,,,,2013,12,17,33,,8,0,0101000020E610000042B87C9B35A0414007A92AC48AD23F40,35.2516359671577,31.8224299053336,223918.0,636622.0
2013008796,32013008796,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-12-17 08:00,1,עיגון מדויק,4,לא-עירונית לא בצומת,9,אחר,4,יום אחר,11,מרחב חוף (חיפה),9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,4,,1780.0,1780,true,,,1,ישראל ללא יהודה ושומרון,1,יום,3,שלישי,9,לא ידוע,,,99,,,,,,,,,,,,,,,,,2013,12,17,33,,8,0,0101000020E61000001D483FE39679414034802DD36F4C4040,34.9499172266953,32.5971626255199,195556.0,722561.0
2013008797,32013008797,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-12-11 08:00,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,12,מרחב גליל,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,1063,מעלות-תרשיחא,1,ישראל ללא יהודה ושומרון,1,יום,4,רביעי,9,לא ידוע,2,הצפון,24,עכו,243,אזור יחיעם,,,16,יישובים יהודיים 49999-20000 תושבים,,,,,9999,,,,,2013,12,11,33,,8,0,0101000020E6100000BF97BA169CA341407B55BD83BA814040,35.2782009516809,33.0135044741137,226342.0,768708.0
2013008798,32013008798,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-12-18 08:00,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,38,מרחב לכיש,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,1066,"בני עי""ש",1,ישראל ללא יהודה ושומרון,1,יום,4,רביעי,9,לא ידוע,4,המרכז,44,רחובות,441,אזור רחובות,99,מועצה מקומית,18,יישובים יהודיים 9999-5000 תושבים,,,,,9999,,,,,2013,12,18,33,,8,0,0101000020E6100000CC9EE9186B6141408CB5F4DF89CA3F40,34.7610808506703,31.7911663029131,177460.0,633240.0
2013008799,32013008799,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-09-30 08:00,1,עיגון מדויק,4,לא-עירונית לא בצומת,9,אחר,4,יום אחר,52,מרחב שפלה,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,431,,100.0,100,true,,,1,ישראל ללא יהודה ושומרון,1,יום,2,שני,9,לא ידוע,,,99,,,,,,,,,,,,,,,,,2013,9,30,33,,8,0,0101000020E61000006CDF5073926141404348E73E6DF73F40,34.7622818131339,31.9665107073454,177653.0,652683.0
2013008800,32013008800,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-07-30 08:00,3,מרכז דרך,2,עירונית לא בצומת,9,אחר,4,יום אחר,52,מרחב שפלה,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,8400,רחובות,1,ישראל ללא יהודה ושומרון,1,יום,3,שלישי,9,לא ידוע,4,המרכז,44,רחובות,441,אזור רחובות,,,14,יישובים יהודיים 199999-100000 תושבים,585,שד בגין מנחם,,,9999,,,,,2013,7,30,33,,8,0,0101000020E6100000272AF21E8D6941400F314376D0E73F40,34.824619167561,31.9055246271174,183522.0,645898.0
2013008801,32013008801,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-11-28 08:00,3,מרכז דרך,2,עירונית לא בצומת,9,אחר,4,יום אחר,34,מרחב נגב,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,9000,באר שבע,1,ישראל ללא יהודה ושומרון,1,יום,5,חמישי,9,לא ידוע,6,הדרום,62,באר שבע,623,אזור באר שבע,,,14,יישובים יהודיים 199999-100000 תושבים,366,שד טוביהו דוד,,,9999,,,,,2013,11,28,33,,8,0,0101000020E61000009B76D654AB62414029191DB183403F40,34.770853619307,31.2520094581643,178149.0,573454.0
